No,Kategori,Standar-Deviasi,Batas-Bawah,Batas-Atas
1,Makanan,67.43589549,139.0256418,192.9743582
2,Pangan,6.055300708,8.244546383,13.08878695
3,Gas,1.861898673,0.921907198,2.411426136
4,Kendaraan,0.894427191,0.642229124,1.357770876
5,Kerajinan,27.99285623,34.80285751,57.19714249
6,Fashion,6.503845017,27.89846199,33.10153801
7,Kantin Sekolah,0.836660027,0.165335989,0.834664011
8,Kuliner,16.47321058,49.57738244,62.7559509
9,Otomotif,1.329160136,1.635002612,2.698330721
10,Pendidikan,0.98319208,0.773389835,1.559943499
11,PKL,0.816496581,0.340068034,0.993265299
12,Teknologi Internet,2.28035085,5.08785966,6.91214034
13,Rumah Warung Makan,10.0730664,15.63744011,23.69589323
14,Agrobisnis,2.607680962,1.956927615,4.043072385
15,Minuman,6.123724357,8.050510257,12.94948974
16,Jasa,10.13903348,12.94438661,21.05561339
17,Kesehatan,2.250925735,2.432963039,4.233703628
18,Warung Sembako,0.98319208,0.773389835,1.559943499
19,Lainnya,554.9325785,992.8603019,1436.806365
